ダウンロードした時刻：2025/06/02 13:59:14

,呉,呉,呉
2024/9/29,26.4,8,1
2024/9/30,26.1,8,1
2024/10/1,25.6,8,1
2024/10/2,21.3,8,1
2024/10/3,21.3,8,1
2024/10/4,21.9,8,1
2024/10/5,23.2,8,1
2024/10/6,24.1,8,1
2024/10/7,22.2,8,1
2024/10/8,20.2,8,1
2024/10/9,21.7,8,1
2024/10/10,21.8,8,1
2024/10/11,21.3,8,1
2024/10/12,20.5,8,1
2024/10/13,21.7,8,1
2024/10/14,22.4,8,1
2024/10/15,23.4,8,1
2024/10/16,24.6,8,1
2024/10/17,24.7,8,1
2024/10/18,24.9,8,1
2024/10/19,23.2,8,1
2024/10/20,17.8,8,1
2024/10/21,19.6,8,1
2024/10/22,20.1,8,1
2024/10/23,21.1,8,1
2024/10/24,19.5,8,1
2024/10/25,20.8,8,1
2024/10/26,20.8,8,1
2024/10/27,21.4,8,1
2024/10/28,19.3,8,1
2024/10/29,18.1,8,1
2024/10/30,19.2,8,1
2024/10/31,17.9,8,1
2024/11/1,18.2,8,1
2024/11/2,20.8,8,1
2024/11/3,18.7,8,1
2024/11/4,18.1,8,1
2024/11/5,18.8,8,1
2024/11/6,16.4,8,1
2024/11/7,14.7,8,1
2024/11/8,14.4,8,1
2024/11/9,15.7,8,1
2024/11/10,16.4,8,1
2024/11/11,18.2,8,1
2024/11/12,17.3,8,1
2024/11/13,18.1,8,1
2024/11/14,17.0,8,1
2024/11/15,18.5,8,1
2024/11/16,18.5,8,1
2024/11/17,18.9,8,1
2024/11/18,14.0,8,1
2024/11/19,10.8,8,1
2024/11/20,12.0,8,1
2024/11/21,13.5,8,1
2024/11/22,12.6,8,1
2024/11/23,11.0,8,1
2024/11/24,10.2,8,1
2024/11/25,11.4,8,1
2024/11/26,12.7,8,1
2024/11/27,12.3,8,1
2024/11/28,11.2,8,1
2024/11/29,10.2,8,1
2024/11/30,11.1,8,1
2024/12/1,10.7,8,1
2024/12/2,12.7,8,1
2024/12/3,13.6,8,1
2024/12/4,10.2,8,1
2024/12/5,9.5,8,1
2024/12/6,10.8,8,1
2024/12/7,9.5,8,1
2024/12/8,7.7,8,1
2024/12/9,8.1,8,1
2024/12/10,8.8,8,1
2024/12/11,8.6,8,1
2024/12/12,9.1,8,1
2024/12/13,8.5,8,1
2024/12/14,7.4,8,1
2024/12/15,8.3,8,1
2024/12/16,8.3,8,1
2024/12/17,6.8,8,1
2024/12/18,6.3,8,1
2024/12/19,6.3,8,1
2024/12/20,5.5,8,1
2024/12/21,8.2,8,1
2024/12/22,6.0,8,1
2024/12/23,6.2,8,1
2024/12/24,7.3,8,1
2024/12/25,7.4,8,1
2024/12/26,11.2,8,1
2024/12/27,8.0,8,1
2024/12/28,5.8,8,1
2024/12/29,6.7,8,1
2024/12/30,7.7,8,1
2024/12/31,8.7,8,1
2025/1/1,6.3,8,1
2025/1/2,6.7,8,1
2025/1/3,5.5,8,1
2025/1/4,5.0,8,1
2025/1/5,5.0,8,1
2025/1/6,7.6,8,1
2025/1/7,5.3,8,1
2025/1/8,5.6,8,1
2025/1/9,3.7,8,1
2025/1/10,1.8,8,1
2025/1/11,3.5,8,1
2025/1/12,5.2,8,1
2025/1/13,7.0,8,1
2025/1/14,6.8,8,1
2025/1/15,6.3,8,1
2025/1/16,5.6,8,1
2025/1/17,7.0,8,1
2025/1/18,5.8,8,1
2025/1/19,7.1,8,1
2025/1/20,8.6,8,1
2025/1/21,7.4,8,1
2025/1/22,7.7,8,1
2025/1/23,8.6,8,1
2025/1/24,8.9,8,1
2025/1/25,8.7,8,1
2025/1/26,7.0,8,1
2025/1/27,7.4,8,1
2025/1/28,5.9,8,1
2025/1/29,5.1,8,1
2025/1/30,4.6,5,1
2025/1/31,5.3,5,1
2025/2/1,5.6,8,1
2025/2/2,6.9,8,1
2025/2/3,6.9,8,1
2025/2/4,1.9,8,1
2025/2/5,1.1,8,1
2025/2/6,1.7,8,1
2025/2/7,1.2,8,1
2025/2/8,0.5,8,1
2025/2/9,2.1,8,1
2025/2/10,3.6,8,1
2025/2/11,4.5,8,1
2025/2/12,4.6,8,1
2025/2/13,6.8,8,1
2025/2/14,5.1,8,1
2025/2/15,6.6,8,1
2025/2/16,8.4,8,1
2025/2/17,6.5,8,1
2025/2/18,3.6,8,1
2025/2/19,3.5,8,1
2025/2/20,3.8,8,1
2025/2/21,4.1,8,1
2025/2/22,2.7,8,1
2025/2/23,3.2,8,1
2025/2/24,2.6,8,1
2025/2/25,4.7,8,1
2025/2/26,9.6,8,1
2025/2/27,8.3,8,1
2025/2/28,9.0,8,1
2025/3/1,11.4,8,1
2025/3/2,12.7,8,1
2025/3/3,10.0,8,1
2025/3/4,5.9,8,1
2025/3/5,9.2,8,1
2025/3/6,7.2,8,1
2025/3/7,6.7,8,1
2025/3/8,6.6,8,1
2025/3/9,7.5,8,1
2025/3/10,8.9,8,1
2025/3/11,10.1,8,1
2025/3/12,12.5,8,1
2025/3/13,12.2,8,1
2025/3/14,12.0,8,1
2025/3/15,8.9,8,1
2025/3/16,8.4,8,1
2025/3/17,6.1,8,1
2025/3/18,5.5,8,1
2025/3/19,6.0,8,1
2025/3/20,8.1,8,1
2025/3/21,12.7,8,1
2025/3/22,15.6,8,1
2025/3/23,16.5,8,1
2025/3/24,14.9,8,1
2025/3/25,17.1,8,1
2025/3/26,18.8,8,1
2025/3/27,16.9,8,1
2025/3/28,14.7,8,1
2025/3/29,10.9,8,1
2025/3/30,7.3,8,1
2025/3/31,7.3,8,1
2025/4/1,9.8,8,1
2025/4/2,11.9,8,1
2025/4/3,11.7,8,1
2025/4/4,11.3,8,1
2025/4/5,12.1,8,1
2025/4/6,14.5,8,1
2025/4/7,13.2,8,1
2025/4/8,15.3,8,1
2025/4/9,15.9,8,1
2025/4/10,15.3,8,1
2025/4/11,16.2,8,1
2025/4/12,14.5,8,1
2025/4/13,13.2,8,1
2025/4/14,11.2,8,1
2025/4/15,10.4,8,1
2025/4/16,13.5,8,1
2025/4/17,17.0,8,1
2025/4/18,19.7,8,1
2025/4/19,19.4,8,1
2025/4/20,17.9,8,1
2025/4/21,18.7,8,1
2025/4/22,16.3,8,1
2025/4/23,17.2,8,1
2025/4/24,16.7,8,1
2025/4/25,17.1,8,1
2025/4/26,14.4,8,1
2025/4/27,17.6,8,1
2025/4/28,15.9,8,1
2025/4/29,14.8,8,1
2025/4/30,15.6,8,1
2025/5/1,18.1,8,1
2025/5/2,16.9,8,1
2025/5/3,16.1,8,1
2025/5/4,16.5,8,1
2025/5/5,16.5,8,1
2025/5/6,14.8,8,1
2025/5/7,16.6,8,1
2025/5/8,17.6,8,1
2025/5/9,15.7,8,1
2025/5/10,18.7,8,1
2025/5/11,15.8,8,1
2025/5/12,17.1,8,1
2025/5/13,18.1,8,1
2025/5/14,19.6,8,1
2025/5/15,20.4,8,1
2025/5/16,20.4,8,1
2025/5/17,20.8,8,1
2025/5/18,21.3,8,1
2025/5/19,20.6,8,1
2025/5/20,24.0,8,1
2025/5/21,22.7,8,1
2025/5/22,23.4,8,1
2025/5/23,21.4,8,1
2025/5/24,18.2,8,1
2025/5/25,18.7,8,1
2025/5/26,16.5,8,1
2025/5/27,18.8,8,1
2025/5/28,19.8,8,1
2025/5/29,19.6,8,1
2025/5/30,20.2,8,1
2025/5/31,20.8,8,1
2025/6/1,19.8,8,1
